SampleID	Compartment	Condition	ConCom	System	Replicate	Microbe	Library	not_include	Description
1M.6.1	matrix	Normal.Microbes	Normal.Microbes.Matrix						
1M.6.2	matrix	Normal.Microbes	Normal.Microbes.Matrix						
1M.6.3	matrix	Normal.Microbes	Normal.Microbes.Matrix						
1R.6.1	root	Normal.Microbes	Normal.Microbes.Root						
1R.6.2	root	Normal.Microbes	Normal.Microbes.Root						
1R.6.4	root	Normal.Microbes	Normal.Microbes.Root						
2M.6.1	matrix	Normal.Microbes	Normal.Microbes.Matrix						
2M.6.2	matrix	Normal.Microbes	Normal.Microbes.Matrix						
2M.6.4	matrix	Normal.Microbes	Normal.Microbes.Matrix						
2R.6.3	root	Normal.Microbes	Normal.Microbes.Root						
3M.6.1	matrix	Normal.Microbes	Normal.Microbes.Matrix						
3M.6.2	matrix	Normal.Microbes	Normal.Microbes.Matrix						
3M.6.3	matrix	Normal.Microbes	Normal.Microbes.Matrix						
3M.6.4	matrix	Normal.Microbes	Normal.Microbes.Matrix						
3R.6.1	root	Normal.Microbes	Normal.Microbes.Root						
3R.6.2	root	Normal.Microbes	Normal.Microbes.Root						
3R.6.3	root	Normal.Microbes	Normal.Microbes.Root						
3R.6.4	root	Normal.Microbes	Normal.Microbes.Root						
1M.9.1	matrix	Shade.Microbes	Shade.Microbes.Matrix						
1M.9.2	matrix	Shade.Microbes	Shade.Microbes.Matrix						
1M.9.3	matrix	Shade.Microbes	Shade.Microbes.Matrix						
1R.9.2	root	Shade.Microbes	Shade.Microbes.Root						
1R.9.4	root	Shade.Microbes	Shade.Microbes.Root						
2M.9.1	matrix	Shade.Microbes	Shade.Microbes.Matrix						
2M.9.2	matrix	Shade.Microbes	Shade.Microbes.Matrix						
2M.9.3	matrix	Shade.Microbes	Shade.Microbes.Matrix						
2M.9.4	matrix	Shade.Microbes	Shade.Microbes.Matrix						
2R.9.1	root	Shade.Microbes	Shade.Microbes.Root						
2R.9.2	root	Shade.Microbes	Shade.Microbes.Root						
3M.9.1	matrix	Shade.Microbes	Shade.Microbes.Matrix						
3M.9.2	matrix	Shade.Microbes	Shade.Microbes.Matrix						
3M.9.3	matrix	Shade.Microbes	Shade.Microbes.Matrix						
3M.9.4	matrix	Shade.Microbes	Shade.Microbes.Matrix						
3R.9.1	root	Shade.Microbes	Shade.Microbes.Root						
3R.9.2	root	Shade.Microbes	Shade.Microbes.Root						
3R.9.3	root	Shade.Microbes	Shade.Microbes.Root						
3R.9.4	root	Shade.Microbes	Shade.Microbes.Root						
