val	nam
2M.6.1	53	M_6
2M.9.2	43	M_9
2R.6.1	54	R_6
1M.6.4	38	M_6
1M.9.3	43	M_9
2R.9.2	59	R_9
2R.9.4	58	R_9
2M.6.4	44	M_6
1R.6.2	52	R_6
2R.6.4	57	R_6
2R.9.1	58	R_9
1M.9.2	46	M_9
1R.6.4	52	R_6
2M.9.4	44	M_9
1R.9.1	57	R_9
2R.9.3	57	R_9
2M.9.3	41	M_9
2R.6.2	52	R_6
1R.9.3	50	R_9
2M.6.2	45	M_6
1M.9.4	34	M_9
2M.9.1	38	M_9
1M.6.3	38	M_6
1R.9.2	56	R_9
2R.6.3	52	R_6
1R.6.1	53	R_6
2M.6.3	41	M_6
1R.9.4	55	R_9
1R.6.3	55	R_6
1M.6.2	40	M_6
1M.6.1	38	M_6
1M.9.1	38	M_9
3R.6.3	52	R_6
3R.9.3	66	R_9
3R.6.1	62	R_6
3R.9.4	62	R_9
3M.6.2	34	M_6
3R.9.1	63	R_9
3M.9.2	40	M_9
3R.9.2	60	R_9
3R.6.4	60	R_6
3M.9.4	39	M_9
3R.6.2	61	R_6
3M.6.1	43	M_6
3M.6.4	42	M_6
3M.9.3	49	M_9
3M.9.1	41	M_9
